X,Y,ux,uy,,,X1,Y1,sigma_xx,sigma_yy,sigma_xy
0,1.428571429,0,-0.00165817,,,0.035171039,0.948192664,-28.88586203,-73.17173957,0.026698067
0,0.714285714,0,-0.000889562,,,0.035171039,1.181156984,-26.76629289,-69.14088635,0.022322574
0,1.071428571,0,-0.001289434,,,0.035307201,1.898991905,-20.73255686,-56.53185347,0.008229029
0,1.25,0,-0.001477754,,,0.035307201,1.666027585,-22.60935339,-60.65571183,0.01284433
0,0.892857143,0,-0.001093331,,,0.035430033,0.454644642,-33.63045174,-81.621717,0.03506607
0,2.142857143,0,-0.00229834,,,0.035430033,0.221680322,-35.98224684,-85.57402799,0.038122381
0,1.428571429,0,-0.00165817,,,0.035555366,2.615564386,-15.40866792,-43.664977,-0.004739418
0,1.785714286,0,-0.001994797,,,0.035555366,2.382600066,-17.07040836,-47.87669027,-0.00080596
0,1.964285714,0,-0.002150764,,,0.035700146,3.332388032,-10.62006124,-30.56805217,-0.013631753
0,1.607142857,0,-0.001830559,,,0.035700146,3.099423712,-12.13213411,-34.84342001,-0.011386259
0,2.857142857,0,-0.002802524,,,0.035793102,4.050891352,-6.077953468,-17.33138333,-0.015058645
0,2.142857143,0,-0.00229834,,,0.035793102,3.817927031,-7.544518423,-21.62519174,-0.01562149
0,2.5,0,-0.002567865,,,0.03667535,4.545355358,-2.898756467,-8.252077809,-0.010163226
0,2.678571429,0,-0.002689601,,,0.03667535,4.778319678,-1.334310736,-4.007857976,-0.005616197
0,2.321428571,0,-0.00243741,,,0.041751889,1.352958615,-25.25389793,-66.14932667,0.022546315
0,3.571428571,0,-0.003164545,,,0.041751889,0.773863646,-30.52293268,-76.16950028,0.035371032
0,2.857142857,0,-0.002802524,,,0.041913527,2.071457628,-19.39135507,-53.45945568,0.005817064
0,3.214285714,0,-0.003001599,,,0.041913527,1.492362659,-24.05863337,-63.70989901,0.019363842
0,3.392857143,0,-0.003087614,,,0.042059343,0.045063582,-37.80787721,-88.55812978,0.047467218
0,3.035714286,0,-0.002906548,,,0.042059343,0.624158551,-31.96299798,-78.73210915,0.038576697
0,4.285714286,0,-0.003381031,,,0.042208126,2.209363017,-18.34746708,-50.99123876,0.002775568
0,3.571428571,0,-0.003164545,,,0.042208126,2.788457986,-14.21299426,-40.52333558,-0.008746698
0,3.928571429,0,-0.00329104,,,0.042379996,3.505756503,-9.513605332,-27.37825576,-0.017549579
0,4.107142857,0,-0.00334059,,,0.042379996,2.926661535,-13.27802059,-38.00330254,-0.011036061
0,3.75,0,-0.003232359,,,0.042490346,4.225048979,-4.973301561,-14.12587419,-0.016490842
0,5,0,-0.003452897,,,0.042490346,3.64595401,-8.626905157,-24.79543794,-0.018273812
0,4.285714286,0,-0.003381031,,,0.043537671,4.954936418,-0.105011468,-0.811915845,-0.001477986
0,4.642857143,0,-0.003434778,,,0.043537671,4.375841449,-4.005449244,-11.35624686,-0.01497621
0,4.821428571,0,-0.003448239,,,0.083665416,1.416749846,-24.70200199,-65.03356864,0.042194594
0,4.464285714,0,-0.003412405,,,0.083811232,0.683736483,-31.38507532,-77.71244347,0.074534841
0,0.714285714,0,-0.000889562,,,0.084121653,2.137963503,-18.88348724,-52.26983273,0.008690416
0,0,0,0,,,0.084588122,2.857976664,-13.73952641,-39.25634192,-0.019842435
0,0.357142857,0,-0.000459477,,,0.084870342,3.580281942,-9.04129848,-26.00549954,-0.035941443
0,0.535714286,0,-0.000678242,,,0.086028017,4.315176143,-4.397279403,-12.46968468,-0.031244702
0,0.178571429,0,-0.000233367,,,0.164976304,1.129798777,-27.21974246,-70.02706525,0.109461868
0,2.142857143,0,-0.00229834,,,0.164976304,0.949698945,-28.86513878,-73.14050378,0.125171358
0,1.428571429,0,-0.00165817,,,0.165614994,1.860732706,-21.02825956,-57.2075754,0.04225958
0,2.857142857,0,-0.002802524,,,0.165614994,1.680632875,-22.48202333,-60.3941165,0.0589656
0,0.714285714,0,-0.000889562,,,0.166191163,0.358161793,-34.59135456,-83.25453647,0.170973627
0,3.571428571,0,-0.003164545,,,0.166191163,0.178061961,-36.42565465,-86.30499833,0.181310617
0,4.285714286,0,-0.003381031,,,0.166779058,2.585744928,-15.61192651,-44.20323434,-0.019829424
0.165448331,0.771801077,6.37689E-06,-0.000955959,,,0.166779058,2.405645096,-16.89669599,-47.45861847,-0.005598347
0.165448331,1.307515363,9.15777E-06,-0.001536647,,,0.167458176,3.311935279,-10.7483911,-30.94294319,-0.063024076
0.165448331,1.128943934,8.39235E-06,-0.001350865,,,0.167458176,3.131835448,-11.91563012,-34.2482057,-0.055022856
0.165448331,0.950372506,7.46443E-06,-0.001157263,,,0.167894205,4.046004458,-6.110547489,-17.42119248,-0.070679481
0.165448331,1.307515363,9.15777E-06,-0.001536647,,,0.167894205,3.865904626,-7.243304287,-20.74030915,-0.073157979
0.165448331,0.771801077,6.37689E-06,-0.000955959,,,0.172032554,4.821938039,-1.043612771,-3.216649167,-0.021637167
0.166088849,1.50278264,9.84538E-06,-0.001730702,,,0.172032554,4.641838207,-2.265113358,-6.490851486,-0.039636925
0.166088849,2.038496926,1.06416E-05,-0.002213021,,,0.20538918,1.240330492,-26.22932563,-68.10491044,0.123933742
0.166088849,1.859925497,1.05345E-05,-0.002060528,,,0.20538918,0.823646599,-30.04099518,-75.30639056,0.169072118
0.166088849,1.681354068,1.02705E-05,-0.001899715,,,0.206184325,1.975342596,-20.12263352,-55.16838649,0.039603221
0.166088849,2.038496926,1.06416E-05,-0.002213021,,,0.206184325,1.558658704,-23.48870241,-62.53943363,0.087709188
0.166088849,1.50278264,9.84538E-06,-0.001730702,,,0.206901634,0.454644642,-33.62210052,-81.61181266,0.205079454
0.166666667,0,0,0,,,0.206901634,0.03796075,-37.87672584,-88.6666092,0.234159398
0.166666667,0.535714286,4.73733E-06,-0.000678192,,,0.20763354,2.702982401,-14.79147681,-42.07491319,-0.0354101
0.166666667,0.357142857,3.29053E-06,-0.000459441,,,0.20763354,2.286298509,-17.76515504,-49.60549337,0.005575993
0.166666667,0.535714286,4.73733E-06,-0.000678192,,,0.208479016,3.432088933,-9.978406071,-28.73302357,-0.083620108
0.166666667,0.178571429,1.70746E-06,-0.000233347,,,0.208479016,3.01540504,-12.67940456,-36.37907464,-0.060650077
0.167256243,2.227825552,1.06647E-05,-0.00236548,,,0.209021856,4.171004302,-5.321699752,-15.11975755,-0.083562213
0.167256243,2.763539838,9.67816E-06,-0.002744339,,,0.209021856,3.75432041,-7.943951578,-22.79717313,-0.091037747
0.167256243,2.584968409,1.01347E-05,-0.002626784,,,0.214173942,4.96203925,-0.070978745,-0.683840935,-0.00614437
0.167256243,2.40639698,1.04672E-05,-0.002500464,,,0.214173942,4.545355358,-2.908825957,-8.252069775,-0.059352681
0.167256243,2.227825552,1.06647E-05,-0.00236548,,,0.240696381,1.294067076,-25.75181312,-67.1665198,0.13820193
0.167256243,2.763539838,9.67816E-06,-0.002744339,,,0.240819214,0.7477251,-30.7586978,-76.60541855,0.207248169
0.167937304,2.954049965,9.10558E-06,-0.002859988,,,0.241355365,1.494963831,-24.02071647,-63.65493966,0.111405294
0.167937304,3.48976425,6.86194E-06,-0.003130399,,,0.241739691,2.031365947,-19.68412762,-54.16793685,0.039160426
0.167937304,3.311192822,7.67803E-06,-0.003049308,,,0.242072673,0.504832019,-33.1207163,-80.75394722,0.235007895
0.167937304,3.132621393,8.43191E-06,-0.002959153,,,0.242940741,2.226152843,-18.20718268,-50.68363331,0.014131342
0.167937304,2.954049965,9.10558E-06,-0.002859988,,,0.243333686,2.761543683,-14.38528233,-41.00900308,-0.047375882
0.167937304,3.48976425,6.86194E-06,-0.003130399,,,0.244034382,2.957546142,-13.06108637,-37.43569609,-0.066020043
0.168374581,3.688175747,5.92178E-06,-0.00320982,,,0.244272118,3.49486782,-9.578308485,-27.57709934,-0.100448878
0.168374581,4.223890033,3.31396E-06,-0.003367956,,,0.244722002,3.698999442,-8.290990593,-23.81659193,-0.105978872
0.168374581,4.045318604,4.16162E-06,-0.003324369,,,0.245697206,4.246925802,-4.841187657,-13.72344557,-0.09388108
0.168374581,3.866747176,5.0392E-06,-0.003271662,,,0.249967044,4.494251996,-3.247507981,-9.186619329,-0.074797689
0.168374581,3.688175747,5.92178E-06,-0.00320982,,,0.330591298,1.381860223,-24.97366796,-65.6258023,0.174010382
0.168374581,4.223890033,3.31396E-06,-0.003367956,,,0.331167467,0.593575024,-32.23694336,-79.22950183,0.309085705
0.172524771,4.464285714,2.3227E-06,-0.003412289,,,0.331840717,1.007706586,-28.30822543,-72.12294325,0.242406176
0.172524771,5,6.67736E-07,-0.003452745,,,0.332394052,2.12352066,-18.96536197,-52.51578269,0.037747899
0.172524771,4.821428571,1.07299E-06,-0.003448101,,,0.333125407,1.755479264,-21.84881811,-59.0597405,0.105261942
0.172524771,4.642857143,1.63477E-06,-0.003434653,,,0.334237234,2.860437518,-13.70264846,-39.20440926,-0.077929924
0.172524771,4.464285714,2.3227E-06,-0.003412289,,,0.33428434,0.178061961,-36.41239129,-86.28276847,0.365525072
0.330896662,0.82931644,1.35147E-05,-0.001021429,,,0.335352381,3.606411334,-8.870808301,-25.52152576,-0.142452385
0.330896662,1.186459297,1.73453E-05,-0.001411315,,,0.335466857,2.491340755,-16.26061199,-45.90363211,-0.024469055
0.330896662,1.007887868,1.55911E-05,-0.001220239,,,0.336832866,3.229571989,-11.26842397,-32.45183779,-0.119362266
0.330896662,1.186459297,1.73453E-05,-0.001411315,,,0.337709914,3.983651047,-6.507402865,-18.56914948,-0.144318957
0.330896662,0.82931644,1.35147E-05,-0.001021429,,,0.33992676,4.402128379,-3.85547588,-10.8739566,-0.113697167
0.33153718,1.381726574,1.89261E-05,-0.001611258,,,0.346033975,4.821938039,-1.072610102,-3.216647544,-0.043514059
0.332114998,0.593229648,1.03279E-05,-0.00074691,,,0.421233105,1.082400725,-27.60795333,-70.81868092,0.291703488
0.332177698,1.576993851,2.01193E-05,-0.001801647,,,0.421233105,0.898681153,-29.30156427,-73.98796243,0.332169483
0.332177698,1.934136708,2.1232E-05,-0.002124623,,,0.422863869,1.839194236,-21.15747848,-57.56812108,0.11451685
0.332177698,1.75556528,2.08355E-05,-0.001967258,,,0.422863869,1.655474664,-22.64608872,-60.81427906,0.15811147
0.332177698,1.934136708,2.1232E-05,-0.002124623,,,0.424334999,0.221680322,-35.95248992,-85.52741721,0.458867258
0.332177698,1.576993851,2.01193E-05,-0.001801647,,,0.424334999,0.03796075,-37.85909289,-88.62857367,0.482017848
0.333333333,0.357142857,6.59516E-06,-0.000459335,,,0.425836067,2.580867884,-15.61113455,-44.27814612,-0.04813302
0.333333333,0.178571429,3.42256E-06,-0.00023329,,,0.425836067,2.397148312,-16.92035977,-47.5963192,-0.010903628
0.333333333,0.357142857,6.59516E-06,-0.000459335,,,0.427570056,3.325549644,-10.64339278,-30.6867917,-0.161039293
0.333333333,0,0,0,,,0.427570056,3.141830071,-11.82735129,-34.05737523,-0.140389801
0.333345092,2.123465335,2.13893E-05,-0.002282322,,,0.428683367,4.09034837,-5.843013679,-16.60337205,-0.177186958
0.334512486,2.312793961,2.12119E-05,-0.002430478,,,0.428683367,3.906628798,-6.991520519,-19.98766322,-0.185328834
0.334512486,2.669936818,1.98958E-05,-0.002683519,,,0.439249792,4.96203925,-0.125586275,-0.683842897,-0.012612718
0.334512486,2.491365389,2.06841E-05,-0.002561354,,,0.439249792,4.778319678,-1.393003193,-4.007855323,-0.067267604
0.334512486,2.312793961,2.12119E-05,-0.002430478,,,0.456540306,1.136137309,-27.11370542,-69.88233332,0.303255771
0.334512486,2.669936818,1.98958E-05,-0.002683519,,,0.456663138,0.822759653,-30.00813231,-75.28587504,0.377950217
0.335193548,2.860446945,1.88324E-05,-0.002804136,,,0.458034909,1.591779792,-23.16486118,-61.93030469,0.188094024
0.335874609,3.050957072,1.75262E-05,-0.002914624,,,0.458419235,1.895217588,-20.70449448,-56.57014942,0.110192411
0.335874609,3.408099929,1.44974E-05,-0.003094156,,,0.459506039,0.271867699,-35.43333009,-84.670492,0.489424807
0.335874609,3.229528501,1.60828E-05,-0.003008911,,,0.461143268,2.337002646,-17.34979315,-48.67572089,0.002411348
0.335874609,3.050957072,1.75262E-05,-0.002914624,,,0.461536213,2.639429166,-15.19485321,-43.21450492,-0.064034246
0.335874609,3.408099929,1.44974E-05,-0.003094156,,,0.463125421,3.083971173,-12.19995957,-35.1151744,-0.143481793
0.336311886,3.606511426,1.2632E-05,-0.003178209,,,0.463363158,3.388328531,-10.24017872,-29.53198607,-0.180539219
0.336749163,3.804922923,1.069E-05,-0.003250996,,,0.464383513,3.85130783,-7.337039884,-21.00673443,-0.201484065
0.336749163,4.16206578,7.18693E-06,-0.00335359,,,0.465358717,4.16626987,-5.369301662,-15.20589538,-0.185936665
0.336749163,3.983494351,8.91766E-06,-0.003306859,,,0.475042894,4.727216316,-1.74725687,-4.936361476,-0.087184573
0.336749163,3.804922923,1.069E-05,-0.003250996,,,0.497455711,1.259768032,-26.00097942,-67.72888782,0.297272624
0.336749163,4.16206578,7.18693E-06,-0.00335359,,,0.49803188,0.651582664,-31.64020679,-78.20752458,0.453444624
0.340899352,4.402461461,5.07537E-06,-0.003402116,,,0.498101711,1.456706613,-24.29236793,-64.29308076,0.24289346
0.345049542,4.642857143,3.22109E-06,-0.003434269,,,0.499260644,0.413475192,-33.99202395,-82.26083997,0.505851111
0.345049542,5,1.26355E-06,-0.003452281,,,0.499904465,2.018267217,-19.7331291,-54.3767065,0.086871601
0.345049542,4.821428571,2.08589E-06,-0.003447681,,,0.501081851,2.209216318,-18.2834164,-50.96521659,0.035951475
0.345049542,4.642857143,3.22109E-06,-0.003434269,,,0.502925033,2.766033345,-14.31455872,-40.91281207,-0.096594928
0.496344993,0.886831803,2.13948E-05,-0.001085947,,,0.503611923,2.958174059,-13.02214431,-37.41225166,-0.13417758
0.496344993,1.065403231,2.43624E-05,-0.001282237,,,0.504727071,3.524048043,-9.379659086,-27.03432193,-0.208126207
0.496344993,1.065403231,2.43624E-05,-0.001282237,,,0.50516809,3.724157755,-8.128531773,-23.34910239,-0.21806348
0.496344993,0.886831803,2.13948E-05,-0.001085947,,,0.509742469,4.339774969,-4.27857989,-12.01743422,-0.180817976
0.496985511,1.260670508,2.70843E-05,-0.001487985,,,0.51392818,4.582228211,-2.717396903,-7.578295522,-0.13343848
0.497563329,0.650745011,1.6783E-05,-0.000814714,,,0.578289547,0.960382047,-28.68653821,-72.89303731,0.439809948
0.497626029,1.455937785,2.92219E-05,-0.001684287,,,0.580528341,1.733024558,-21.96739345,-59.42227926,0.193934576
0.498266547,1.651205062,3.07742E-05,-0.001870981,,,0.582547981,0.045063582,-37.76389505,-88.46457083,0.663391127
0.498266547,1.829776491,3.16489E-05,-0.002033166,,,0.58460872,2.484909775,-16.25181065,-45.99775598,-0.037578723
0.498266547,1.829776491,3.16489E-05,-0.002033166,,,0.586989225,3.240924677,-11.16497569,-32.23322023,-0.207071297
0.498266547,1.651205062,3.07742E-05,-0.001870981,,,0.588517634,4.024557142,-6.264523767,-17.81338933,-0.247699169
0.498781664,0.41465822,1.13511E-05,-0.000530382,,,0.603023742,4.954936418,-0.238424733,-0.811929353,-0.020497109
0.499433941,2.019105117,3.2133E-05,-0.002196058,,,0.620203074,1.024173277,-28.08461219,-71.78288266,0.451702836
0.5,0,0,0,,,0.62034889,0.870254883,-29.51556214,-74.43232196,0.501232738
0.5,0.178571429,5.15254E-06,-0.000233193,,,0.62228023,1.657411745,-22.57135389,-60.74711568,0.235134406
0.5,0.178571429,5.15254E-06,-0.000233193,,,0.622736467,1.799530433,-21.41629692,-58.23957064,0.185582931
0.500601335,2.208433744,3.21021E-05,-0.002349486,,,0.624299869,0.104641514,-37.13242481,-87.44670011,0.701601452
0.50176873,2.39776237,3.15786E-05,-0.002493313,,,0.626522247,2.41351026,-16.75029703,-47.27976781,-0.017812985
0.50176873,2.576333799,3.05918E-05,-0.00262006,,,0.626988716,2.554428453,-15.74808178,-44.73710015,-0.060038361
0.50176873,2.39776237,3.15786E-05,-0.002493313,,,0.62741743,1.212488,-26.37967751,-68.5225687,0.393396556
0.50176873,2.576333799,3.05918E-05,-0.00262006,,,0.628134739,0.639040081,-31.72867368,-78.38769441,0.57785005
0.502449791,2.766843926,2.91648E-05,-0.002745621,,,0.62825305,1.467233727,-24.16147678,-64.08345284,0.304850731
0.503130852,2.957354052,2.735E-05,-0.002861104,,,0.629197352,3.172239807,-11.59922822,-33.48952794,-0.209391049
0.503811913,3.147864179,2.51985E-05,-0.002966409,,,0.629479571,3.315450116,-10.68306109,-30.8635577,-0.23308944
0.503811913,3.326435608,2.28984E-05,-0.003055802,,,0.62972418,0.331041207,-34.79656521,-83.62104601,0.660403198
0.503811913,3.147864179,2.51985E-05,-0.002966409,,,0.63049741,1.982635602,-19.96864759,-54.99107975,0.12409808
