X,Y,u_x,u_y,,X1,Y1,sigma_xx,sigma_yy,sigma_xy
0,0.3,0,-0.12704619,,0.014147861,0.397955014,-1.077618563,-2.602669525,0.000428359
0,0,0,0,,0.014147861,0.495800028,-1.02958026,-2.507660536,0.00039129
0,0.15,0,-0.06504786,,0.01445821,0.79666,-0.886617446,-2.213802636,0.000270366
0,0.225,0,-0.096430048,,0.01445821,0.698814986,-0.932311325,-2.309668927,0.000314178
0,0.075,0,-0.032903375,,0.014799165,1.097334709,-0.751041689,-1.917317534,0.0001353
0,0.3,0,-0.12704619,,0.014799165,0.999489694,-0.794366959,-2.014115389,0.000181475
0,0.9,0,-0.343869892,,0.014907221,1.30012142,-0.663591178,-1.7157408,4.23221E-05
0,0.6,0,-0.241766025,,0.014907221,1.397966434,-0.6224689,-1.618030746,-9.38581E-07
0,0.75,0,-0.294414593,,0.014930915,1.698530455,-0.500013523,-1.316220211,-0.000118398
0,0.825,0,-0.319543928,,0.014930915,1.60068544,-0.539287861,-1.414727676,-8.32339E-05
0,0.675,0,-0.268486954,,0.014933939,1.901282928,-0.420123644,-1.111432608,-0.000178238
0,0.6,0,-0.241766025,,0.014933939,1.999127943,-0.382147256,-1.012346251,-0.000199824
0,0.3,0,-0.12704619,,0.014964477,2.299939674,-0.266705842,-0.707123363,-0.000228411
0,0.45,0,-0.185963919,,0.014964477,2.202094659,-0.304133557,-0.806458082,-0.00022606
0,0.525,0,-0.214256738,,0.015108628,2.601512499,-0.150779597,-0.401237375,-0.000190845
0,0.375,0,-0.156892239,,0.015108628,2.503667485,-0.188603511,-0.500382305,-0.000210096
0,1.5,0,-0.508952317,,0.015634006,2.906894265,-0.029996552,-0.093468127,-5.23885E-05
0,1.2,0,-0.433038287,,0.015634006,2.80904925,-0.069103113,-0.191583833,-9.49521E-05
0,1.35,0,-0.47267121,,0.01617458,0.19095075,-1.181591944,-2.802890954,0.000566927
0,1.425,0,-0.491233001,,0.01617458,0.093105735,-1.23176793,-2.897214907,0.000596152
0,1.275,0,-0.453271421,,0.016795066,0.324683331,-1.114065872,-2.673654149,0.000539239
0,2.7,0,-0.675376858,,0.016795066,0.567903218,-0.994656332,-2.437477915,0.000430328
0,2.4,0,-0.654609758,,0.017163484,0.625704212,-0.966958793,-2.381109214,0.000410785
0,2.55,0,-0.666728658,,0.017163484,0.868924099,-0.853367722,-2.142807131,0.00028188
0,2.625,0,-0.671485439,,0.017568235,1.169725052,-0.719466337,-1.84550573,0.000120506
0,2.475,0,-0.661104033,,0.017568235,0.926505165,-0.827177693,-2.086119062,0.000256407
0,2.1,0,-0.619920969,,0.017696509,1.47047498,-0.592415172,-1.545442264,-3.75211E-05
0,1.8,0,-0.571322883,,0.017696509,1.227255093,-0.694658439,-1.788318736,8.97214E-05
0,1.95,0,-0.597354584,,0.017724637,1.771144534,-0.471187501,-1.242972011,-0.000168543
0,2.025,0,-0.609071983,,0.017724637,1.527924647,-0.568846227,-1.48782563,-6.5292E-05
0,1.875,0,-0.58477075,,0.017728227,1.828633931,-0.44854185,-1.184902815,-0.000188745
0,2.4,0,-0.654609758,,0.017728227,2.071853818,-0.354099465,-0.938616003,-0.000251851
0,2.1,0,-0.619920969,,0.017764479,2.372817432,-0.23882417,-0.63313916,-0.000267522
0,2.25,0,-0.639008078,,0.017764479,2.129597545,-0.331913667,-0.880037094,-0.000261125
0,2.325,0,-0.647244648,,0.017935602,2.674684548,-0.122252077,-0.327198321,-0.000205874
0,2.175,0,-0.629900014,,0.017935602,2.431464661,-0.216350929,-0.573619091,-0.000263059
0,1.2,0,-0.433038287,,0.018559283,2.737853409,-0.097420074,-0.263428055,-0.000157389
0,0.9,0,-0.343869892,,0.018559283,2.981073296,-0.000345164,-0.018922345,-5.00941E-05
0,1.05,0,-0.390091309,,0.019201004,0.018926704,-1.27020593,-2.968614644,0.000729596
0,1.125,0,-0.41197661,,0.019201004,0.262146591,-1.145484566,-2.734136708,0.000644148
0,0.975,0,-0.367387384,,0.03395855,0.59360743,-0.982293844,-2.412413715,0.000844768
0,1.8,0,-0.571322883,,0.03473172,0.895429264,-0.841264766,-2.116718589,0.000541232
0,1.5,0,-0.508952317,,0.035264745,1.196980145,-0.707668179,-1.818420273,0.000211914
0,1.65,0,-0.541846623,,0.035421146,1.498399627,-0.580920329,-1.517443938,-0.000102259
0,1.725,0,-0.557013787,,0.035452863,1.799778465,-0.459880778,-1.214055552,-0.000357615
0,1.575,0,-0.525824874,,0.035492706,2.101451363,-0.342715993,-0.90859341,-0.000513754
0,0.6,0,-0.241766025,,0.035700081,2.404282093,-0.226776288,-0.601203921,-0.000531041
0,3,0,-0.6823681,,0.035996071,0.286829922,-1.13303962,-2.710263094,0.001187267
0,2.7,0,-0.675376858,,0.036494885,2.712537957,-0.10743947,-0.288999255,-0.000359221
0,2.85,0,-0.680579233,,0.066363177,0.397532468,-1.077773348,-2.603028516,0.002010465
0,2.925,0,-0.681899762,,0.066363177,0.473174397,-1.040565671,-2.529604685,0.00187761
0,2.775,0,-0.678407261,,0.067818924,0.777208255,-0.895571064,-2.23284324,0.001310314
0,0.9,0,-0.343869892,,0.067818924,0.701566325,-0.93094863,-2.306933521,0.001468598
0,1.2,0,-0.433038287,,0.069418238,1.080373101,-0.758425157,-1.934085969,0.00067299
0,1.5,0,-0.508952317,,0.069418238,1.004731172,-0.791953268,-2.008901758,0.000840287
0,1.8,0,-0.571322883,,0.069925093,1.307694398,-0.660313822,-1.708162129,0.000183192
0,2.1,0,-0.619920969,,0.069925093,1.383336327,-0.628507185,-1.632634822,2.63368E-05
0,2.4,0,-0.654609758,,0.070036234,1.68598197,-0.504967364,-1.328852082,-0.000534224
0,2.7,0,-0.675376858,,0.070036234,1.610340041,-0.535330357,-1.40500151,-0.000406857
0.066553054,0.322811526,0.000383168,-0.1362031,,0.070050419,1.913142669,-0.415465628,-1.099422032,-0.000849305
0.066553054,0.322811526,0.000383168,-0.1362031,,0.070050419,1.988784599,-0.386116388,-1.022820926,-0.000927036
0.066553054,0.547811526,0.000589716,-0.222703249,,0.070193666,2.216950244,-0.298440276,-0.791375694,-0.001064098
0.066553054,0.472811526,0.000526887,-0.194648565,,0.070193666,2.292592173,-0.26951676,-0.714582272,-0.001071247
0.066553054,0.397811526,0.000457977,-0.165813663,,0.070869831,2.524327873,-0.180671191,-0.479437482,-0.000969616
0.066553054,0.547811526,0.000589716,-0.222703249,,0.070869831,2.599969803,-0.151422763,-0.402808782,-0.0008832
0.068012967,0.626856925,0.00066344,-0.251421304,,0.073334213,2.849572047,-0.053157159,-0.150904739,-0.000356545
0.068012967,0.851856925,0.000796809,-0.328342739,,0.073334213,2.925213976,-0.022130889,-0.074729637,-0.000202176
0.068012967,0.776856925,0.000758927,-0.303500656,,0.075869879,0.150427953,-1.202245572,-2.841900676,0.002720583
0.068012967,0.701856925,0.000714459,-0.277858496,,0.075869879,0.074786024,-1.24118566,-2.91477671,0.002820509
0.068012967,0.626856925,0.00066344,-0.251421304,,0.082619614,0.519269202,-1.01807544,-2.48475851,0.002232538
0.068012967,0.851856925,0.000796809,-0.328342739,,0.082619614,0.344261967,-1.104207799,-2.654617887,0.00261403
0.069616857,0.930030827,0.000848847,-0.353378807,,0.084431964,0.8242912,-0.873745713,-2.186613216,0.001507094
0.069616857,1.155030827,0.000904121,-0.420503855,,0.084431964,0.649283965,-0.955634534,-2.358014894,0.001962551
0.069616857,1.080030827,0.000892271,-0.398947763,,0.086423048,1.128231312,-0.737402133,-1.886638057,0.000707186
0.069616857,1.005030827,0.00087388,-0.376571065,,0.086423048,0.953224078,-0.815001812,-2.059719995,0.00118899
0.069616857,0.930030827,0.000848847,-0.353378807,,0.087054062,1.431920415,-0.608248281,-1.584023144,-8.86784E-05
0.069616857,1.155030827,0.000904121,-0.420503855,,0.087054062,1.25691318,-0.681854744,-1.758753754,0.000363219
0.070125161,1.233002531,0.000916298,-0.44203862,,0.087192429,1.560206905,-0.555597505,-1.455382383,-0.000394224
0.070125161,1.458002531,0.000895233,-0.499129053,,0.087192429,1.735214139,-0.485339039,-1.279210428,-0.000761162
0.070125161,1.383002531,0.000908156,-0.480937352,,0.087210089,1.86369607,-0.434735449,-1.149441417,-0.000983644
0.070125161,1.308002531,0.000915259,-0.461905679,,0.087210089,2.038703305,-0.366827015,-0.972223563,-0.001207334
0.070125161,1.233002531,0.000916298,-0.44203862,,0.087388426,2.168436354,-0.317002757,-0.840618092,-0.001305641
0.070125161,1.458002531,0.000895233,-0.499129053,,0.087388426,2.343443589,-0.250077722,-0.662957041,-0.001325271
0.07023662,1.535655744,0.000877412,-0.517074531,,0.088230225,2.477621221,-0.198666656,-0.526797307,-0.001255942
0.07023662,1.760655744,0.000791486,-0.563919037,,0.088230225,2.652628456,-0.130968036,-0.349527488,-0.001004525
0.07023662,1.685655744,0.000824734,-0.549159264,,0.091298286,2.80904925,-0.069331565,-0.191550207,-0.000652956
0.07023662,1.610655744,0.000853507,-0.533543211,,0.091298286,2.984056485,-1.54264E-06,-0.016091882,-0.000157556
0.07023662,1.535655744,0.000877412,-0.517074531,,0.094455094,0.19095075,-1.18150548,-2.802773344,0.003313209
0.07023662,1.760655744,0.000791486,-0.563919037,,0.094455094,0.015943515,-1.27169976,-2.971355332,0.003595438
0.070250846,1.838466391,0.000752873,-0.578323353,,0.097077824,0.540921967,-1.007546489,-2.463655889,0.00256451
0.070250846,2.063466391,0.000621229,-0.614740666,,0.098579825,0.622246214,-0.96846894,-2.384384949,0.002371276
0.070250846,1.988466391,0.000667803,-0.603468354,,0.098794194,0.312374937,-1.12011602,-2.685445157,0.003202156
0.070250846,1.913466391,0.000711866,-0.591328516,,0.099231129,0.846618674,-0.863434157,-2.164652612,0.001702101
0.070250846,1.838466391,0.000752873,-0.578323353,,0.100881258,0.927046298,-0.826775699,-2.085502856,0.00147268
0.070250846,2.063466391,0.000621229,-0.614740666,,0.101330269,1.151190512,-0.727355362,-1.863840052,0.000756617
0.070394503,2.14228486,0.000571383,-0.625650047,,0.101853228,1.23141011,-0.692721057,-1.78412199,0.000505479
0.070394503,2.36728486,0.000420317,-0.651500077,,0.101984977,1.455443635,-0.598475161,-1.560455793,-0.000170856
0.070394503,2.29228486,0.000470833,-0.643754913,,0.10209965,1.535335559,-0.565686642,-1.480345664,-0.000394248
0.070394503,2.21728486,0.000521419,-0.635138165,,0.102126368,1.759334847,-0.47575146,-1.254866136,-0.000943598
0.070394503,2.14228486,0.000571383,-0.625650047,,0.102141004,1.839388745,-0.444227302,-1.174010757,-0.001106445
0.070394503,2.36728486,0.000420317,-0.651500077,,0.102174566,2.063635744,-0.357210794,-0.946940189,-0.001441273
0.071072602,2.449683598,0.000369287,-0.659004855,,0.102322365,2.144726518,-0.326076883,-0.864678021,-0.001513724
0.071072602,2.674683598,0.000232306,-0.67415524,,0.102497054,2.369948853,-0.239946073,-0.636051598,-0.001543298
0.071072602,2.599683598,0.000274886,-0.669972065,,0.103194703,2.454723115,-0.207473057,-0.550024966,-0.001492779
0.071072602,2.524683598,0.000320859,-0.664922711,,0.103864231,2.684515486,-0.118540406,-0.317278355,-0.001099067
0.071072602,2.449683598,0.000369287,-0.659004855,,0.106406914,2.78772397,-0.077867319,-0.213070351,-0.00083535
0.071072602,2.674683598,0.000232306,-0.67415524,,0.108602955,0.211743543,-1.170891024,-2.782667189,0.003764169
0.073544035,2.775,0.000188146,-0.678400915,,0.133485862,0.420539239,-1.066234354,-2.580551755,0.003968569
0.073544035,3,0.000104444,-0.682356176,,0.134182101,0.574740723,-0.991109435,-2.430622173,0.003416972
0.073544035,2.925,0.000129984,-0.681890106,,0.136414018,0.728653121,-0.918011059,-2.280285029,0.002845228
0.073544035,2.85,0.000156149,-0.680571559,,0.137237163,0.881939427,-0.847130173,-2.129840996,0.002203216
0.073544035,2.775,0.000188146,-0.678400915,,0.139343331,1.188067499,-0.71123137,-1.827158985,0.000882272
0.076086957,0.225,0.000316842,-0.096427553,,0.13963095,1.035019034,-0.778239807,-1.97885422,0.001560178
0.076086957,0.15,0.000216807,-0.065046107,,0.139961327,1.493676368,-0.582607684,-1.522100383,-0.000380025
0.076086957,0.225,0.000316842,-0.096427553,,0.140086653,1.799124639,-0.459955438,-1.214671914,-0.001406227
0.076086957,0,0,0,,0.140244085,2.105734842,-0.340993122,-0.904231957,-0.002031619
0.076086957,0.075,0.000111055,-0.032902447,,0.140650459,1.340979399,-0.646046774,-1.674867392,0.000233382
0.133106108,0.345623052,0.000813807,-0.145282988,,0.140874014,1.646300964,-0.520676088,-1.368766613,-0.000938104
0.133106108,0.345623052,0.000813807,-0.145282988,,0.140902546,1.951938296,-0.400279872,-1.060121622,-0.001788778
0.133106108,0.495623052,0.001094255,-0.20325388,,0.141063496,2.416920047,-0.222000005,-0.588381852,-0.002083536
0.133106108,0.420623052,0.000959996,-0.174656868,,0.141190679,2.259597022,-0.282122396,-0.748076197,-0.00215111
0.133106108,0.495623052,0.001094255,-0.20325388,,0.142233056,0.247960421,-1.152433682,-2.747582208,0.004822472
0.13456602,0.574668451,0.001235907,-0.232547093,,0.142550747,2.574436717,-0.161442116,-0.428668887,-0.001840711
0.136025933,0.65371385,0.00136613,-0.260966586,,0.144204043,2.74954185,-0.093129505,-0.251600974,-0.00131064
0.136025933,0.80371385,0.001547842,-0.312474676,,0.147507716,2.925213976,-0.022766473,-0.074788492,-0.000343447
0.136025933,0.72871385,0.001463559,-0.287118983,,0.152608068,0.074786024,-1.241044497,-2.914520669,0.005680852
0.136025933,0.65371385,0.00136613,-0.260966586,,0.16944474,0.374021888,-1.08912104,-2.625519807,0.005244617
0.136025933,0.80371385,0.001547842,-0.312474676,,0.16944474,0.451184109,-1.051010969,-2.550679748,0.004904385
0.137629823,0.881887752,0.001640813,-0.338049468,,0.173161693,0.684321515,-0.938693865,-2.323542306,0.003850981
0.139233713,0.960061653,0.001720878,-0.362747387,,0.173161693,0.761483735,-0.902492702,-2.248015777,0.003440548
0.139233713,1.110061653,0.001797161,-0.407662089,,0.177245213,0.9924023,-0.797036335,-2.020866392,0.002226651
0.139233713,1.035061653,0.001765631,-0.38561348,,0.177245213,1.06956452,-0.76276517,-1.944590165,0.001790542
0.139233713,0.960061653,0.001720878,-0.362747387,,0.178539361,1.377130509,-0.63070662,-1.638697175,0.000110998
0.139233713,1.110061653,0.001797161,-0.407662089,,0.178539361,1.299968288,-0.663177549,-1.715711519,0.000521036
0.139742017,1.188033358,0.001822815,-0.429712056,,0.178823138,1.606723395,-0.536450752,-1.408541158,-0.001011878
0.140250322,1.266005062,0.001834803,-0.450867486,,0.178823138,1.683885615,-0.505490759,-1.330880154,-0.001345208
0.140250322,1.416005062,0.00180788,-0.489030506,,0.178859356,1.991041551,-0.385064784,-1.020496833,-0.002364693
0.140250322,1.341005062,0.001827309,-0.470367675,,0.178859356,1.913879331,-0.414961027,-1.098628671,-0.002162098
0.140250322,1.266005062,0.001834803,-0.450867486,,0.179225108,2.223601191,-0.295856019,-0.784612475,-0.002714926
0.140250322,1.416005062,0.00180788,-0.489030506,,0.179225108,2.300763411,-0.266405903,-0.706281752,-0.002729164
0.140361781,1.493658274,0.001777157,-0.507466394,,0.180951556,2.542438453,-0.173889708,-0.461096454,-0.002423944
0.140473241,1.571311487,0.00173478,-0.524995,,0.180951556,2.619600673,-0.144067517,-0.382947615,-0.002186863
0.140473241,1.721311487,0.001620166,-0.556268949,,0.18390295,0.472836874,-1.040330188,-2.529590863,0.00521728
0.140473241,1.646311487,0.001682166,-0.541059165,,0.185619321,0.342134858,-1.104931868,-2.656330569,0.005894926
0.140473241,1.571311487,0.00173478,-0.524995,,0.187243849,2.906894265,-0.030451954,-0.093220389,-0.000676703
0.140473241,1.721311487,0.001620166,-0.556268949,,0.187243849,2.984056485,-2.79789E-09,-0.015867266,-6.66295E-06
0.140487466,1.799122135,0.001546955,-0.571141948,,0.187309554,0.657283764,-0.951417062,-2.349911138,0.004320921
0.140501692,1.876932782,0.001465502,-0.585087981,,0.187960858,0.78381121,-0.892025309,-2.226076671,0.003606128
0.140501692,2.026932782,0.001289066,-0.609345412,,0.191703423,0.966224521,-0.808686147,-2.04665677,0.002571112
0.140501692,1.951932782,0.001380073,-0.597649973,,0.192152433,1.09252372,-0.752572014,-1.921817937,0.001803359
0.140501692,1.876932782,0.001465502,-0.585087981,,0.193338526,1.274465218,-0.673919734,-1.741093557,0.000716674
0.140501692,2.026932782,0.001289066,-0.609345412,,0.193470276,1.400653729,-0.620810754,-1.615156042,-9.7753E-06
0.140645349,2.105751251,0.001189867,-0.620700235,,0.193718152,0.093105735,-1.231454478,-2.896676129,0.007160607
0.140789005,2.18456972,0.001086936,-0.631094057,,0.193718152,0.015943515,-1.271503277,-2.97092283,0.007389945
0.140789005,2.33456972,0.000884421,-0.648216275,,0.193730358,1.581852049,-0.546431003,-1.433520764,-0.000971438
0.140789005,2.25956972,0.000985922,-0.640091003,,0.193757077,1.708006323,-0.495816529,-1.306558044,-0.001562419
0.140789005,2.18456972,0.001086936,-0.631094057,,0.193790271,1.889572006,-0.424374742,-1.123211566,-0.00226255
0.140789005,2.33456972,0.000884421,-0.648216275,,0.193823833,2.01597399,-0.375410613,-0.995226162,-0.002622549
0.141467105,2.416968458,0.000777765,-0.65613816,,0.194159046,2.199891354,-0.304900524,-0.808675877,-0.002923419
0.142145204,2.499367196,0.000673185,-0.663008942,,0.194333736,2.327268675,-0.256297374,-0.679374313,-0.002949956
0.142145204,2.649367196,0.000491087,-0.672825181,,0.195916033,2.519540347,-0.182738321,-0.484304396,-0.002686154
0.142145204,2.574367196,0.000579115,-0.668350683,,0.196585561,2.651487703,-0.13174388,-0.350690057,-0.002245294
0.142145204,2.499367196,0.000673185,-0.663008942,,0.201304786,0.522105564,-1.016224834,-2.481618201,0.005439479
0.142145204,2.649367196,0.000491087,-0.672825181,,0.202352477,2.885568984,-0.039258248,-0.114678162,-0.000896494
0.14264001,0.247811526,0.00064945,-0.105813776,,0.202777195,0.601827518,-0.977768786,-2.403968229,0.005014457
0.144616637,2.749683598,0.000392128,-0.677458059,,0.205832256,0.833384292,-0.869003149,-2.17735978,0.003632247
0.147088071,2.85,0.00030891,-0.680552483,,0.207449874,0.912227289,-0.832966555,-2.099819743,0.003142485
0.147088071,3,0.000223507,-0.682331438,,0.207866013,0.113898529,-1.22067714,-2.876571653,0.007612376
0.147088071,2.925,0.000259082,-0.681868145,,0.209355741,0.270967192,-1.140545974,-2.725042848,0.007003528
0.147088071,2.85,0.00030891,-0.680552483,,0.209556042,1.142713432,-0.730513592,-1.872019614,0.00163761
0.152173913,0,0,0,,0.210068697,1.2213525,-0.696513589,-1.793913491,0.001125071
0.152173913,0.15,0.000434165,-0.065040815,,0.210686693,1.45131944,-0.599700716,-1.564426942,-0.000311856
0.152173913,0.075,0.000222401,-0.032899652,,0.210799106,1.529637291,-0.567557482,-1.485924179,-0.000765518
0.152173913,0.15,0.000434165,-0.065040815,,0.210924433,1.759443633,-0.475348803,-1.254665999,-0.001934932
0.199659161,0.368434578,0.001291204,-0.154284897,,0.21093878,1.837920266,-0.444484526,-1.175420413,-0.002265586
0.199659161,0.368434578,0.001291204,-0.154284897,,0.211096212,2.06888854,-0.355018788,-0.941578155,-0.002978593
0.199659161,0.443434578,0.001505386,-0.183420979,,0.211241098,2.148381621,-0.324564879,-0.860944805,-0.00312076
0.199659161,0.443434578,0.001505386,-0.183420979,,0.21206051,2.383924896,-0.234691631,-0.621867762,-0.003171498
0.201119074,0.522479977,0.001724104,-0.213285978,,0.212744413,2.46702889,-0.202924051,-0.537550842,-0.003045595
0.202578987,0.601525376,0.001924894,-0.242281206,,0.21588496,2.724008764,-0.103520856,-0.277415388,-0.00211143
0.2040389,0.680570776,0.002106877,-0.270401009,,0.218377546,2.825183779,-0.063542605,-0.175419493,-0.001462799
0.2040389,0.755570776,0.00224614,-0.296267625,,0.218971245,0.172318491,-1.190632388,-2.820207244,0.007784202
0.2040389,0.680570776,0.002106877,-0.270401009,,0.232622083,0.398659555,-1.076576321,-2.601330441,0.00706812
0.2040389,0.755570776,0.00224614,-0.296267625,,0.237724898,0.71279939,-0.924870494,-2.295423607,0.005094987
0.20564279,0.833744677,0.002388964,-0.322378429,,0.243330955,1.023893089,-0.782549297,-1.989542685,0.002828448
0.20724668,0.911918579,0.002511875,-0.347616114,,0.245107625,1.334280051,-0.648265894,-1.68133028,0.000479344
0.20885057,0.99009248,0.002614448,-0.3719749,,0.245497208,1.643553793,-0.521289214,-1.371393976,-0.001596897
0.20885057,1.06509248,0.002673655,-0.394513962,,0.245546931,1.953377815,-0.399425102,-1.05859963,-0.003105768
0.20885057,0.99009248,0.002614448,-0.3719749,,0.246049052,2.266724462,-0.279383312,-0.740827986,-0.00373981
0.20885057,1.06509248,0.002673655,-0.394513962,,0.248419205,2.592585183,-0.154787787,-0.410313316,-0.003123652
0.209193064,0.270623052,0.001033024,-0.115123499,,0.249785567,0.424363767,-1.063762722,-2.576304889,0.007427425
0.209358874,1.143064184,0.002720926,-0.417077098,,0.251823087,0.360806146,-1.095261513,-2.637888849,0.007898778
0.209867178,1.221035888,0.002747398,-0.43874905,,0.253876704,0.500468074,-1.026415237,-2.502384342,0.007027568
